,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
105,1612656000,73.85,66.85,72.92,1579690.98,108126675.59,68.45,multiply,BTC
106,1612742400,88.88,74.39,68.45,2471683.24,197533915.54,79.92,multiply,BTC
107,1612828800,114.93,78.18,79.92,4396753.02,473396878.81,107.67,multiply,BTC
108,1612915200,142.77,103.66,107.67,5898304.24,760633407.59,128.96,multiply,BTC
109,1613001600,139.94,120.78,128.96,1995828.14,247578427.48,124.05,multiply,BTC
110,1613088000,140.65,119.21,124.05,2052841.13,281031833.07,136.9,multiply,BTC
111,1613174400,137.98,126.89,136.9,1268161.58,169176627.74,133.4,multiply,BTC
112,1613260800,138.56,126.59,133.4,1481637.17,201624264.03,136.08,multiply,BTC
113,1613347200,137.1,121.57,136.08,1342021.56,174274927.28,129.86,multiply,BTC
114,1613433600,135.55,127.58,129.86,1148825.21,149454515.94,130.09,multiply,BTC
115,1613520000,176.44,132.26,130.09,3782233.73,626109777.76,165.54,multiply,BTC
116,1613606400,198.78,161.95,165.54,4280312.54,837159763.98,195.58,multiply,BTC
117,1613692800,364.07,211.88,195.58,8841111.31,2947303643.98,333.36,multiply,BTC
118,1613779200,334.62,229.86,333.36,4647304.54,1182296223.45,254.4,multiply,BTC
119,1613865600,311.37,257.81,254.4,3463258.28,1020841694.09,294.76,multiply,BTC
120,1613952000,278.35,241.43,294.76,2821786.15,754428737.56,267.36,multiply,BTC
121,1614038400,243.12,201.12,267.36,2829550.27,655832703.19,231.78,multiply,BTC
122,1614124800,273.31,225.71,231.78,2651144.48,674611490.89,254.46,multiply,BTC
123,1614211200,246.86,227.22,254.46,1263705.24,296423368.01,234.57,multiply,BTC
124,1614297600,231.3,216.84,234.57,1283145.44,284484965.5,221.71,multiply,BTC
125,1614384000,228.74,219.41,221.71,1174122.31,265043227.05,225.74,multiply,BTC
126,1614470400,222.64,204.85,225.74,1236828.22,260419514.38,210.55,multiply,BTC
127,1614556800,267.63,230.85,210.55,1706795.99,435106195.82,254.93,multiply,BTC
128,1614643200,255.99,233.73,254.93,1126626.2,270372247.42,239.98,multiply,BTC
129,1614729600,254.33,239.42,239.98,863686.63,207954669.92,240.78,multiply,BTC
130,1614816000,238.97,228.28,240.78,734668.43,168738205.13,229.68,multiply,BTC
131,1614902400,232.66,224.07,229.68,661643.23,149289778.64,225.63,multiply,BTC
132,1614988800,231.9,224.56,225.63,571008.33,129289166.03,226.42,multiply,BTC
133,1615075200,245.19,230.15,226.42,732946.06,175862608.14,239.94,multiply,BTC
134,1615161600,248.29,237.87,239.94,533008.35,128293114.72,240.7,multiply,BTC
135,1615248000,300.35,245.31,240.7,1916136.93,562671368.0,293.65,multiply,BTC
136,1615334400,300.82,271.36,293.65,1303500.3,363264734.52,278.68,multiply,BTC
137,1615420800,318.88,286.27,278.68,1642012.49,476422417.99,290.15,multiply,BTC
138,1615507200,292.01,256.51,290.15,1401172.76,368798259.13,263.21,multiply,BTC
139,1615593600,291.4,274.7,263.21,716260.59,197718874.24,276.04,multiply,BTC
140,1615680000,267.09,259.89,276.04,533964.16,140599195.5,263.31,multiply,BTC
141,1615766400,255.67,240.97,263.31,654607.04,166670647.77,254.61,multiply,BTC
142,1615852800,263.73,256.16,254.61,570198.91,147394405.67,258.5,multiply,BTC
143,1615939200,273.16,265.09,258.5,492115.41,132832302.28,269.92,multiply,BTC
144,1616025600,273.63,256.17,269.92,723714.84,188896052.63,261.01,multiply,BTC
145,1616112000,267.66,260.92,261.01,374239.01,98473088.45,263.13,multiply,BTC
146,1616198400,269.42,262.1,263.13,559606.14,148003120.79,264.48,multiply,BTC
147,1616284800,269.6,259.11,264.48,416405.72,110210370.22,264.67,multiply,BTC
148,1616371200,262.25,248.46,264.67,654404.7,166841415.16,254.95,multiply,BTC
149,1616457600,261.01,252.75,254.95,414146.8,105712293.15,255.25,multiply,BTC
150,1616544000,248.96,240.8,255.25,559853.64,139089671.62,248.44,multiply,BTC
151,1616630400,243.95,228.19,248.44,665637.62,155854992.65,234.14,multiply,BTC
152,1616716800,260.96,250.5,234.14,456419.09,116469898.82,255.18,multiply,BTC
153,1616803200,273.62,255.63,255.18,647511.44,174423333.32,269.37,multiply,BTC
154,1616889600,278.29,266.02,269.37,583491.05,156782367.7,268.7,multiply,BTC
155,1616976000,283.35,269.75,268.7,487889.93,134250050.85,275.16,multiply,BTC
156,1617062400,311.54,277.57,275.16,981696.53,305839859.38,311.54,multiply,BTC
157,1617148800,315.66,294.5,311.54,790621.86,239158448.77,302.49,multiply,BTC
158,1617235200,337.88,299.88,302.49,865316.79,289220971.55,334.24,multiply,BTC
159,1617321600,357.53,327.91,334.24,1086263.62,367605739.78,338.41,multiply,BTC
160,1617408000,336.06,314.77,338.41,644763.36,207551150.78,321.9,multiply,BTC
161,1617494400,353.62,325.8,321.9,660919.82,231024164.68,349.55,multiply,BTC
162,1617580800,383.63,348.98,349.55,907502.26,334246566.75,368.31,multiply,BTC
163,1617667200,411.7,358.68,368.31,1274785.99,513810029.55,403.06,multiply,BTC
164,1617753600,397.43,356.53,403.06,1294736.39,486092963.46,375.44,multiply,BTC
165,1617840000,423.73,387.89,375.44,871553.75,364440224.57,418.15,multiply,BTC
166,1617926400,453.23,405.53,418.15,1093431.56,495579736.41,453.23,multiply,BTC
167,1618012800,496.81,448.27,453.23,1420631.16,670114661.72,471.7,multiply,BTC
168,1618099200,530.29,454.83,471.7,1216290.73,639074108.17,525.43,multiply,BTC
169,1618185600,628.98,513.72,525.43,2799382.88,1671123679.95,596.96,multiply,BTC
170,1618272000,636.86,535.99,596.96,1847257.25,1016760753.4,550.42,multiply,BTC
171,1618358400,579.52,526.26,550.42,1168538.01,641731117.21,549.17,multiply,BTC
172,1618444800,559.74,540.71,549.17,772273.55,418891160.05,542.41,multiply,BTC
173,1618531200,546.61,498.27,542.41,928377.02,472504716.08,508.96,multiply,BTC
174,1618617600,528.07,496.06,508.96,769034.82,396361463.49,515.4,multiply,BTC
175,1618704000,494.35,454.08,515.4,1006586.09,485153357.66,481.98,multiply,BTC
176,1618790400,524.56,468.33,481.98,1291540.98,651533083.15,504.46,multiply,BTC
177,1618876800,594.91,473.87,504.4,720601.15,394339209.72,588.55,direct,
178,1618963200,613.6,536.07,588.55,848270.95,492544550.23,543.71,direct,
179,1619049600,583.12,479.18,543.71,855993.96,464818586.76,505.27,direct,
180,1619136000,532.76,471.25,505.59,1304202.85,687489285.61,527.13,multiply,BTC
181,1619222400,529.02,483.73,526.99,269029.73,136713127.18,496.98,direct,
182,1619308800,509.88,480.21,497.05,663129.74,335182097.71,505.45,multiply,BTC
183,1619395200,550.59,502.66,506.0,464147.03,245933070.25,535.13,direct,
184,1619481600,579.92,538.23,535.87,557840.77,317667883.94,569.46,multiply,BTC
185,1619568000,574.02,548.78,569.46,371136.38,209171143.93,563.6,multiply,BTC
186,1619654400,605.47,548.68,563.6,719156.1,431960760.37,600.65,multiply,BTC
187,1619740800,660.17,608.77,600.65,885750.29,552007106.33,623.21,multiply,BTC
188,1619827200,639.17,610.25,623.21,526151.9,326559915.99,620.66,multiply,BTC
189,1619913600,627.39,599.08,620.66,396980.98,247038236.83,622.29,multiply,BTC
190,1620000000,682.34,613.13,622.29,755739.21,511346509.52,676.62,multiply,BTC
191,1620086400,632.54,600.06,676.62,657919.09,401447124.34,610.18,multiply,BTC
192,1620172800,679.16,626.25,610.18,772662.55,503874898.24,652.13,multiply,BTC
193,1620259200,641.18,625.38,652.13,708466.58,449456444.97,634.41,multiply,BTC
194,1620345600,644.89,619.07,634.41,384867.89,240467941.49,624.81,multiply,BTC
195,1620432000,661.34,627.74,624.81,493370.89,319307453.09,647.2,multiply,BTC
196,1620518400,686.71,634.24,647.2,618882.91,410198579.85,662.8,multiply,BTC
197,1620604800,655.91,615.13,662.8,715020.6,451814233.3,631.89,multiply,BTC
198,1620691200,677.0,639.54,631.89,615655.07,414002246.02,672.46,multiply,BTC
199,1620777600,597.51,574.25,672.46,515966.59,305232293.62,591.57,multiply,BTC
200,1620864000,613.8,559.13,591.57,818959.08,467674685.42,571.06,multiply,BTC
201,1620950400,615.2,566.25,570.68,228130.96,136292511.99,603.21,direct,
202,1621036800,569.26,556.16,603.15,370311.88,208723419.21,563.64,multiply,BTC
203,1621123200,606.83,534.67,563.2,225132.78,129383392.5,564.21,direct,
204,1621209600,564.6,484.13,564.21,286468.48,148351984.7,512.11,direct,
205,1621296000,514.2,493.19,512.61,592265.17,300988766.72,508.2,multiply,BTC
206,1621382400,437.95,319.33,508.2,1494373.59,502965691.89,336.57,multiply,BTC
207,1621468800,405.77,325.83,336.57,1054491.13,412427669.07,391.12,multiply,BTC
208,1621555200,416.54,275.03,391.88,445575.19,154104760.8,326.5,direct,
209,1621641600,331.99,293.07,326.89,681948.9,204384893.75,299.71,multiply,BTC
210,1621728000,284.75,235.69,299.71,1129435.65,295489851.36,261.63,multiply,BTC
211,1621814400,347.64,288.53,261.63,1068604.73,369535713.8,345.81,multiply,BTC
212,1621900800,364.41,320.69,345.81,833796.39,286400803.11,343.49,multiply,BTC
213,1621987200,380.06,348.43,343.49,624578.86,237231442.03,379.83,multiply,BTC
214,1622073600,372.63,351.44,379.83,571122.28,211035620.94,369.51,multiply,BTC
215,1622160000,343.36,317.56,369.51,1095698.08,360656130.83,329.16,multiply,BTC
216,1622246400,328.22,303.06,329.16,566443.67,172881390.7,305.2,multiply,BTC
217,1622332800,333.37,310.51,305.2,662724.88,215877392.19,325.74,multiply,BTC
218,1622419200,354.52,333.12,325.74,588831.17,208381449.03,353.89,multiply,BTC
219,1622505600,363.09,344.68,353.89,461378.46,167235740.73,362.47,multiply,BTC
220,1622592000,413.35,366.26,362.47,543295.6,218240710.4,401.7,multiply,BTC
221,1622678400,431.13,411.91,401.7,380775.23,162970119.45,428.0,multiply,BTC
222,1622764800,402.9,371.2,428.0,465240.52,181784312.34,390.73,multiply,BTC
223,1622851200,400.16,376.35,390.73,348209.91,135875557.26,390.21,multiply,BTC
224,1622937600,395.57,384.12,390.21,192065.44,75632349.08,393.78,multiply,BTC
225,1623024000,407.27,354.29,393.75,164515.55,63397434.98,358.12,direct,
226,1623110400,366.24,319.95,358.12,231729.05,80203223.89,352.92,direct,
227,1623196800,395.6,372.2,353.14,373127.86,140215994.29,375.79,multiply,BTC
228,1623283200,369.01,350.01,375.79,301683.24,106189111.03,351.99,multiply,BTC
229,1623369600,365.07,344.09,351.99,301359.88,104234426.04,345.88,multiply,BTC
230,1623456000,345.0,325.99,345.88,250423.65,86112359.51,343.87,multiply,BTC
231,1623542400,379.72,357.67,343.87,232832.67,85185529.35,365.87,multiply,BTC
232,1623628800,381.36,363.48,365.87,279627.01,103509596.96,370.17,multiply,BTC
233,1623715200,377.4,363.22,370.17,214693.24,78749108.45,366.8,multiply,BTC
234,1623801600,350.32,341.85,366.8,196127.91,68106599.98,347.26,multiply,BTC
235,1623888000,353.4,343.62,347.26,169036.16,59641452.53,352.83,multiply,BTC
236,1623974400,338.81,328.71,352.83,203518.36,68662619.43,337.38,multiply,BTC
237,1624060800,339.31,333.03,337.38,135131.65,45165759.63,334.24,multiply,BTC
238,1624147200,340.61,330.6,334.24,185139.61,62782975.76,339.11,multiply,BTC
239,1624233600,341.85,268.6,338.99,184376.16,55807486.75,271.11,direct,
240,1624320000,290.75,225.62,271.11,325146.28,83881012.6,261.92,direct,
